"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c3_5g/egov_score/EU/2020","2020","EU","desi_1c_mbb","desi_1c3_5g","egov_score",10.2604,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c3_5g/egov_score/IE/2020","2020","IE","desi_1c_mbb","desi_1c3_5g","egov_score",15,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c3_5g/egov_score/PL/2020","2020","PL","desi_1c_mbb","desi_1c3_5g","egov_score",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c_mbb/desi_1c3_5g/egov_score/SI/2020","2020","SI","desi_1c_mbb","desi_1c3_5g","egov_score",0,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1c_mbb/egov_score/DE/2020","2020","DE","desi_1_conn","desi_1c_mbb","egov_score",22.8602,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1c_mbb/egov_score/ES/2020","2020","ES","desi_1_conn","desi_1c_mbb","egov_score",17.2862,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1_conn/desi_1c_mbb/egov_score/FI/2020","2020","FI","desi_1_conn","desi_1c_mbb","egov_score",26.8053,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/BG/2020","2020","BG","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",71.9387,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/DK/2020","2020","DK","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",60.6457,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/FR/2020","2020","FR","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",80.3184,,
