"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",21921,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",22057,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",23567,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",18571,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",18529,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",18677,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",19321,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",19462,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",19375,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",20790,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",4584,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",4583,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",4777,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",4763,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",4600,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",4631,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",5154,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",7566,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",8056,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",7882,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",8314,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",8131,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",7806,,
"ITE3","Marche","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",8556,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",19742,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",20779,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",21599,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",22199,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",22333,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",23325,,
"ITE4","Lazio","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",25967,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",5823,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",6017,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",6185,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",6462,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",6385,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",6411,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",7130,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",1425,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",1473,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",1561,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",1698,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",1572,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",1673,,
"ITF2","Molise","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",1854,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",15584,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",16532,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",16905,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",17628,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",17929,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",18356,,
"ITF3","Campania","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",19885,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",13253,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",13801,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",14552,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",15604,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",15501,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",16008,,
"ITF4","Puglia","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",17489,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",2242,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",2356,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",2581,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",2700,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2016","2016",2684,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2017","2017",2724,,
"ITF5","Basilicata","JAN","population on 1st January","9","total","Y87","87 years","99","total","2018","2018",3003,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2012","2012",7180,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2013","2013",7348,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2014","2014",7540,,
"ITF6","Calabria","JAN","population on 1st January","9","total","Y87","87 years","99","total","2015","2015",7693,,
