"TIME","GEO","UNIT","Value"
"2012","Piemonte","Million euro","123 364.93"
"2012","Valle d'Aosta/Vallée d'Aoste","Million euro","4 879.29"
"2012","Liguria","Million euro","46 307.28"
"2012","Lombardia","Million euro","351 390.02"
"2012","Provincia Autonoma di Bolzano/Bozen","Million euro","21 599.75"
"2012","Provincia Autonoma di Trento","Million euro","18 884.59"
"2012","Veneto","Million euro","145 472.27"
"2012","Friuli-Venezia Giulia","Million euro","34 547.66"
"2012","Emilia-Romagna","Million euro","141 966.1"
"2012","Toscana","Million euro","107 566.5"
"2012","Umbria","Million euro","21 810.99"
"2012","Marche","Million euro","39 243.69"
"2012","Lazio","Million euro","186 655.15"
"2012","Abruzzo","Million euro","32 213.3"
"2012","Molise","Million euro","6 490.28"
"2012","Campania","Million euro","102 632.61"
"2012","Puglia","Million euro","72 225.26"
"2012","Basilicata","Million euro","11 500.7"
"2012","Calabria","Million euro","32 709.18"
"2012","Sicilia","Million euro","87 921.76"
"2012","Sardegna","Million euro","33 346.78"
"2013","Piemonte","Million euro","124 536.94"
"2013","Valle d'Aosta/Vallée d'Aoste","Million euro","4 680.43"
"2013","Liguria","Million euro","45 756.24"
"2013","Lombardia","Million euro","348 117.37"
"2013","Provincia Autonoma di Bolzano/Bozen","Million euro","21 874.31"
"2013","Provincia Autonoma di Trento","Million euro","19 375.6"
"2013","Veneto","Million euro","145 522.38"
"2013","Friuli-Venezia Giulia","Million euro","34 859.19"
"2013","Emilia-Romagna","Million euro","143 074.67"
"2013","Toscana","Million euro","106 707.52"
"2013","Umbria","Million euro","21 452.99"
"2013","Marche","Million euro","38 722.87"
"2013","Lazio","Million euro","184 287.14"
"2013","Abruzzo","Million euro","31 695.39"
"2013","Molise","Million euro","6 078.4"
"2013","Campania","Million euro","100 834.78"
"2013","Puglia","Million euro","70 433.03"
"2013","Basilicata","Million euro","11 807.8"
"2013","Calabria","Million euro","32 097.04"
"2013","Sicilia","Million euro","86 559.94"
"2013","Sardegna","Million euro","32 453.48"
"2014","Piemonte","Million euro","124 277.65"
"2014","Valle d'Aosta/Vallée d'Aoste","Million euro","4 643.65"
"2014","Liguria","Million euro","46 573.52"
"2014","Lombardia","Million euro","355 346.9"
"2014","Provincia Autonoma di Bolzano/Bozen","Million euro","22 144.04"
"2014","Provincia Autonoma di Trento","Million euro","19 384.64"
"2014","Veneto","Million euro","147 834.54"
"2014","Friuli-Venezia Giulia","Million euro","35 078.45"
"2014","Emilia-Romagna","Million euro","145 927.6"
"2014","Toscana","Million euro","108 725.25"
"2014","Umbria","Million euro","21 061.51"
"2014","Marche","Million euro","39 638.76"
"2014","Lazio","Million euro","184 996.61"
"2014","Abruzzo","Million euro","31 656.85"
