"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","C","manufacturing","W100_249","100-249","2019","2019",22.37,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","C","manufacturing","W_GE250","250 and over","2019","2019",46.85,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","F","construction","W10_49","10-49","2019","2019",2.12,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","F","construction","W_GE10","10 and over","2019","2019",2.42,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","F","construction","W50_99","50-99","2019","2019",4.5,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","F","construction","W100_249","100-249","2019","2019",9.32,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","F","construction","W_GE250","250 and over","2019","2019",25.15,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2019","2019",5.26,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2019","2019",3.6,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2019","2019",1.83,,
